Namespace,Pod Name,Container Name,SP HttpGet,SP FailureThreshold,SP InitialDelaySeconds,SP PeriodSeconds,SP SuccessThreshold,SP TimeoutSeconds,LP HttpGet,LP FailureThreshold,LP InitialDelaySeconds,LP PeriodSeconds,LP SuccessThreshold,LP TimeoutSeconds,RP HttpGet,RP FailureThreshold,RP InitialDelaySeconds,RP PeriodSeconds,RP SuccessThreshold,RP TimeoutSeconds
ibs-ivv,bip-ibs-icp-service-ivv-6595cf454-gnpr2,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,bip-ibs-ins-data-service-ivv-5d7c978f7f-2t5mw,bip-ibs-ins-data-service, , , , , , ,/app-health/bip-ibs-ins-data-service/livez,10,90,10,1,5,/app-health/bip-ibs-ins-data-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-ins-data-service-ivv-5d7c978f7f-2t5mw,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-ins-data-service-ivv-5d7c978f7f-2t5mw,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,bip-ibs-ins-service-ivv-9799d5b87-zln7z,bip-ibs-ins-service, , , , , , ,/app-health/bip-ibs-ins-service/livez,10,90,10,1,5,/app-health/bip-ibs-ins-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-ins-service-ivv-9799d5b87-zln7z,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-ins-service-ivv-9799d5b87-zln7z,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,bip-ibs-ssa-service-ivv-84d7c9bf4b-knw7n,bip-ibs-ssa-service, , , , , , ,/app-health/bip-ibs-ssa-service/livez,10,90,10,1,5,/app-health/bip-ibs-ssa-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-ssa-service-ivv-84d7c9bf4b-knw7n,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-ssa-service-ivv-84d7c9bf4b-knw7n,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,bip-ibs-vet-data-service-ivv-85d7845965-76fvt,bip-ibs-vet-data-service, , , , , , ,/app-health/bip-ibs-vet-data-service/livez,10,90,10,1,5,/app-health/bip-ibs-vet-data-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-vet-data-service-ivv-85d7845965-76fvt,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-vet-data-service-ivv-85d7845965-76fvt,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
